Á¾¸ñÄÚµå,Á¾¸ñ¸í,½ÃÀå±¸ºÐ,¼Ò¼ÓºÎ,Á¾°¡,´ëºñ,µî¶ô·ü,½Ã°¡,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,½Ã°¡ÃÑ¾×,»óÀåÁÖ½Ä¼ö
"060310","3S","KOSDAQ","Áß°ß±â¾÷ºÎ","3490","45","1.31","3445","3530","3410","161173","559249865","161487580370","46271513"
"095570","AJ³×Æ®¿÷½º","KOSPI",,"5980","70","1.18","5910","5990","5840","107862","637395400","279997324100","46822295"
"006840","AKÈ¦µù½º","KOSPI",,"27500","0","0.00","27500","27950","27250","28064","775667050","364307927500","13247561"
"054620","APSÈ¦µù½º","KOSDAQ","Áß°ß±â¾÷ºÎ","19200","-450","-2.29","19650","19700","19100","66490","1286371200","391569043200","20394221"
"265520","AP½Ã½ºÅÛ","KOSDAQ","¿ì·®±â¾÷ºÎ","28700","-200","-0.69","28950","28950","28500","133041","3815416000","415582514900","14480227"
"211270","APÀ§¼º","KOSDAQ","º¥Ã³±â¾÷ºÎ","15750","-50","-0.32","15550","15800","15200","95248","1480368000","237546288000","15082304"
"027410","BGF","KOSPI",,"6390","60","0.95","6360","6390","6280","110182","699707730","611630294490","95716791"
"282330","BGF¸®Å×ÀÏ","KOSPI",,"180500","2000","1.12","176000","181000","176000","19851","3550042000","3119745033000","17283906"
"138930","BNK±ÝÀ¶ÁöÁÖ","KOSPI",,"7880","120","1.55","7740","7890","7730","794183","6218424790","2568369738480","325935246"
"001460","BYC","KOSPI",,"410000","-2000","-0.49","405000","423500","405000","406","168184500","256092150000","624615"
"001465","BYC¿ì","KOSPI",,"174000","-5000","-2.79","176000","177000","173500","307","53643000","37476990000","215385"
"013720","CBI","KOSDAQ","Áß°ß±â¾÷ºÎ","3480","15","0.43","3465","3500","3345","302645","1039937205","176428257000","50697775"
"001040","CJ","KOSPI",,"101500","0","0.00","102000","102500","100500","54037","5502077500","2961465297000","29176998"
"079160","CJ CGV","KOSPI",,"31150","850","2.81","30350","31500","30150","882043","27467291600","1155177128700","37084338"
"035760","CJ ENM","KOSDAQ","¿ì·®±â¾÷ºÎ","153000","-100","-0.07","153500","154300","152000","60789","9314152200","3355160562000","21929154"
"00104K","CJ4¿ì(ÀüÈ¯)","KOSPI",,"84700","200","0.24","84500","85000","84000","1880","158894300","357985566400","4226512"
"000120","CJ´ëÇÑÅë¿î","KOSPI",,"169000","-2000","-1.17","169000","170500","168500","76897","13034187020","3855286136000","22812344"
"011150","CJ¾¾Çªµå","KOSPI",,"4270","40","0.95","4230","4270","4205","104005","440373955","153424400710","35930773"
"011155","CJ¾¾Çªµå1¿ì","KOSPI",,"39150","400","1.03","39100","39150","38650","134","5203900","7830000000","200000"
"001045","CJ¿ì","KOSPI",,"62700","-100","-0.16","62800","62800","62400","989","61880600","141715982100","2260223"
"097950","CJÁ¦ÀÏÁ¦´ç","KOSPI",,"446500","-7000","-1.54","450500","453000","446000","29555","13243567500","6721694049000","15054186"
"097955","CJÁ¦ÀÏÁ¦´ç ¿ì","KOSPI",,"204000","2500","1.24","201500","204500","200500","2382","481366500","270796332000","1327433"
"051500","CJÇÁ·¹½Ã¿þÀÌ","KOSDAQ","Áß°ß±â¾÷ºÎ","35950","1150","3.30","35000","36100","34100","160534","5715824700","426783516700","11871586"
"058820","CMGÁ¦¾à","KOSDAQ","¿ì·®±â¾÷ºÎ","4525","25","0.56","4500","4575","4460","1036982","4665053775","628487404100","138892244"
"023460","CNH","KOSDAQ","º¥Ã³±â¾÷ºÎ","3785","10","0.26","3795","3875","3740","317514","1205641500","140802000000","37200000"
"056730","CNT85","KOSDAQ","°ü¸®Á¾¸ñ(¼Ò¼ÓºÎ¾øÀ½)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","ÅõÀÚÁÖÀÇÈ¯±âÁ¾¸ñ(¼Ò¼ÓºÎ¾øÀ½)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","º¥Ã³±â¾÷ºÎ","5450","-30","-0.55","5440","5480","5360","359007","1950826010","105790658500","19411130"
"083660","CSA ÄÚ½º¹Í","KOSDAQ","°ü¸®Á¾¸ñ(¼Ò¼ÓºÎ¾øÀ½)","1590","-5","-0.31","1605","1625","1580","20432","32535465","60315241260","37934114"
"000590","CSÈ¦µù½º","KOSPI",,"64500","-100","-0.15","64500","64600","63900","796","51200500","74464089000","1154482"
"012030","DB","KOSPI",,"1060","5","0.47","1045","1070","1045","715389","755336625","213244368980","201173933"
"367340","DB±ÝÀ¶½ºÆÑ8È£","KOSDAQ","SPAC(¼Ò¼ÓºÎ¾øÀ½)","2200","10","0.46","2200","2215","2180","60508","132877790","13310000000","6050000"
